   Epoch 108/250 ( 43.2%) | train loss 0.0500 acc  97.96% | test loss 0.3314 acc  91.41% | best  92.18% | lr 4.9e-04 | time  16.5s                               
   Epoch 109/250 ( 43.6%) | train loss 0.0478 acc  98.39% | test loss 0.3803 acc  89.76% | best  92.18% | lr 4.9e-04 | time  17.0s                               
   Epoch 110/250 ( 44.0%) | train loss 0.0647 acc  97.91% | test loss 0.5397 acc  87.44% | best  92.18% | lr 4.9e-04 | time  16.9s                               
   Epoch 111/250 ( 44.4%) | train loss 0.0643 acc  97.71% | test loss 0.3433 acc  90.31% | best  92.18% | lr 4.9e-04 | time  17.0s                               
   Epoch 112/250 ( 44.8%) | train loss 0.0486 acc  98.16% | test loss 0.3759 acc  90.42% | best  92.18% | lr 4.9e-04 | time  16.8s                               
   Epoch 113/250 ( 45.2%) | train loss 0.0603 acc  97.96% | test loss 0.2897 acc  91.63% | best  92.18% | lr 4.9e-04 | time  16.5s                               
   Epoch 114/250 ( 45.6%) | train loss 0.0490 acc  98.19% | test loss 0.3246 acc  91.08% | best  92.18% | lr 4.9e-04 | time  16.4s                               
   Epoch 115/250 ( 46.0%) | train loss 0.0458 acc  98.36% | test loss 0.3432 acc  91.30% | best  92.18% | lr 4.9e-04 | time  16.4s                               
   Epoch 116/250 ( 46.4%) | train loss 0.0658 acc  97.43% | test loss 0.4083 acc  89.54% | best  92.18% | lr 4.9e-04 | time  16.4s                               
   Epoch 117/250 ( 46.8%) | train loss 0.0460 acc  98.31% | test loss 0.3277 acc  91.41% | best  92.18% | lr 4.9e-04 | time  16.4s                               
   Epoch 118/250 ( 47.2%) | train loss 0.0504 acc  98.06% | test loss 0.3297 acc  90.75% | best  92.18% | lr 4.9e-04 | time  16.7s                               
   Epoch 119/250 ( 47.6%) | train loss 0.0611 acc  97.83% | test loss 0.3294 acc  91.08% | best  92.18% | lr 4.9e-04 | time  16.8s                               
   Epoch 120/250 ( 48.0%) | train loss 0.0553 acc  98.08% | test loss 0.3491 acc  90.64% | best  92.18% | lr 4.9e-04 | time  16.8s                               
